id,err,label
0,4.99,0
1,5.248,0
2,5.458,0
3,5.612,0
4,5.534,0
5,5.528,0
6,5.3,0
7,5.576,0
8,4.872,0
9,4.138,0
10,3.62,0
11,3.634,0
12,3.856,0
13,4.006,0
14,4.17,0
15,4.316,0
16,3.996,0
17,3.096,0
18,2.822,0
19,2.696,0
20,2.486,0
21,2.722,0
22,2.598,0
23,3.08,0
24,3.486,0
25,3.488,0
26,3.538,0
27,3.49,0
28,3.21,0
29,2.97,0
30,2.584,0
31,2.156,0
32,1.414,0
33,0.898,0
34,0.764,0
35,0.884,0
36,0.814,0
37,0.962,0
38,1.402,0
39,1.168,0
40,0.584,0
41,0.5,0
42,1.2,0
43,1.248,0
44,1.12,0
45,1.062,0
46,1.566,0
47,2.052,0
48,2.192,0
49,2.376,0
50,2.532,0
51,2.462,0
52,2.264,0
53,1.756,0
54,0.816,0
55,0.456,0
56,0.582,0
57,0.554,0
58,0.754,0
59,0.806,0
60,0.578,0
61,1.1,0
62,0.556,0
63,0.654,0
64,0.58,0
65,0.968,0
66,0.592,0
67,0.454,0
68,0.054,0
69,0.422,0
70,0.616,0
71,1.616,0
72,1.814,0
73,2.278,0
74,2.398,0
75,2.564,0
76,2.356,0
77,1.772,0
78,0.346,0
79,0.84,0
80,0.586,0
81,0.55,0
82,0.718,0
83,0.818,0
84,0.748,0
85,0.984,0
86,0.918,0
87,0.432,0
88,0.82,0
89,1.05,0
90,0.996,0
91,0.65,0
92,0.28,0
93,0.038,0
94,0.634,0
95,1.464,0
96,1.592,0
97,1.626,0
98,1.83,0
99,1.688,0
100,1.69,0
101,0.854,0
102,0.282,0
103,1.584,0
104,1.36,0
105,1.566,0
106,1.664,0
107,1.964,0
108,1.506,0
109,1.762,0
110,1.816,0
111,1.416,0
112,1.668,0
113,2.182,0
114,1.798,0
115,1.548,0
116,1.626,0
117,0.932,0
118,0.374,0
119,0.306,0
120,0.908,0
121,0.834,0
122,1.168,0
123,0.954,0
124,0.846,0
125,0.24,0
126,0.718,0
127,2.328,0
128,2.302,0
129,1.986,0
130,2.332,0
131,2,0
132,1.722,0
133,1.9,0
134,1.478,0
135,1.448,0
136,1.18,0
137,1.804,0
138,1.132,0
139,1.096,0
140,0.864,0
141,0.88,0
142,0.024,0
143,0.962,0
144,0.988,0
145,1.226,0
146,1.322,0
147,1.33,0
148,0.998,0
149,0.396,0
150,1.056,0
151,2.186,0
152,2.068,0
153,2.002,0
154,2.306,0
155,2.09,0
156,1.582,0
157,1.582,0
158,1.738,0
