id,err,label
0,1.2,0
1,1.567,0
2,1.267,0
3,1.267,0
4,1.367,0
5,1.433,0
6,2.533,0
7,3.8,0
8,3.3,0
9,4.2,0
10,3.433,0
11,3.033,0
12,2.2,0
13,1.267,0
14,0.767,0
15,0.067,0
16,1.067,0
17,1.767,0
18,1.833,0
19,1,0
20,1.3,0
21,0.267,0
22,1.033,0
23,0.4,0
24,1.067,0
25,0.267,0
26,0.133,0
27,0.033,0
28,0.333,0
29,0.033,0
30,0.333,0
31,0.567,0
32,0.267,0
33,2.733,0
34,3.167,0
35,4.667,0
36,5.667,0
37,12.467,1
38,13.733,1
39,14.167,1
40,14.3,1
41,14.9,1
42,14.1,1
43,13.4,1
44,12.1,1
45,12.467,1
46,8.9,1
47,8.767,1
48,12.733,1
49,13.333,1
50,4,0
51,4.033,0
52,4.9,0
53,5.233,0
54,4.6,0
55,4.6,0
56,3.4,0
57,3.267,0
58,4.567,0
59,4.8,0
60,4.6,0
61,4.833,0
62,5.267,0
63,5.767,0
64,6.2,0
65,6.967,0
66,6.5,0
67,3.167,0
68,1.633,0
69,2.767,0
70,3,0
71,2.367,0
72,1.2,0
73,0.933,0
74,3.7,0
75,2.233,0
76,0.667,0
77,1.2,0
78,2.433,0
79,1.2,0
80,0.133,0
81,0.5,0
82,0.167,0
83,1.3,0
84,1.433,0
85,2.167,0
86,1.822,0
87,2.433,0
88,2,0
89,0.233,0
90,0.2,0
91,0.767,0
92,1.1,0
93,1.2,0
94,10.133,1
95,10.967,1
96,13.7,1
97,15.867,1
98,15.7,1
99,14.533,1
100,14.033,1
101,15.333,1
102,15.667,1
103,13.4,1
104,10.833,1
105,9.3,1
106,3.967,0
107,3.133,0
108,2.133,0
109,1.733,0
110,2,0
111,1.867,0
112,2.267,0
113,2.633,0
114,3.7,0
115,4.367,0
116,5.667,0
117,3.833,0
118,0.333,0
119,0.133,0
120,0.433,0
121,0.733,0
122,0.5,0
123,1.067,0
124,0.7,0
125,0.567,0
126,0.267,0
127,0.2,0
128,0.233,0
129,0.1,0
130,0.5,0
131,0.133,0
132,0.367,0
133,0.833,0
134,0.167,0
135,0.367,0
136,0.2,0
137,1.033,0
138,2.7,0
139,2.267,0
140,3.167,0
141,1.767,0
142,2.733,0
143,2.1,0
144,3.333,0
145,3.2,0
146,2.367,0
147,1.8,0
148,2.4,0
149,4.733,0
150,6.567,0
151,6,0
152,2.833,0
153,0.967,0
154,0.1,0
155,1.9,0
156,2.9,0
157,2.378,0
158,2.967,0
159,3.1,0
160,2.9,0
161,2.3,0
162,2.767,0
163,3.267,0
164,2.733,0
165,2.233,0
166,3.1,0
167,2.8,0
168,2.167,0
169,1.833,0
170,2.519,0
171,1.233,0
172,1.733,0
173,2.133,0
174,2.067,0
175,8.3,1
176,10.367,1
177,13.067,1
178,14.767,1
179,15.167,1
180,15.233,1
181,15.833,1
182,13.2,1
183,12,1
184,10.533,1
185,10.3,1
186,9.233,1
187,8.2,1
188,8.367,1
189,8.1,1
190,2.267,0
191,1.9,0
192,1.133,0
193,1.033,0
194,1,0
195,0.967,0
196,1.067,0
197,1.833,0
198,1.067,0
199,1.933,0
200,4.2,0
201,7.067,0
202,7.1,0
203,6.267,0
204,5.167,0
205,4.233,0
206,4.167,0
207,3.533,0
208,3.233,0
209,2.367,0
210,1.9,0
211,1.267,0
212,0.833,0
213,0.233,0
214,0.433,0
215,0.633,0
216,0.867,0
217,1.233,0
218,1.7,0
219,1.6,0
220,1.6,0
221,1.467,0
222,1.2,0
223,0.733,0
224,2.4,0
225,3,0
226,2.867,0
227,3.433,0
228,3.633,0
229,3.4,0
230,3.2,0
231,2.8,0
232,1.933,0
233,1.667,0
234,1.333,0
235,0.7,0
236,0.9,0
237,1.5,0
238,1,0
239,0.133,0
240,1.767,0
241,1.367,0
242,1.367,0
243,1.7,0
244,0.533,0
245,1.367,0
246,2.4,0
247,5.233,0
248,2.133,0
249,2.9,0
250,3.567,0
251,3.5,0
252,4.133,0
253,3.2,0
254,3.733,0
255,2.833,0
256,3.367,0
257,2.733,0
258,3.467,0
259,3.967,0
260,3.667,0
261,3.133,0
262,3.367,0
263,3.033,0
264,2.067,0
265,1.867,0
266,4.7,0
267,2.433,0
268,1.967,0
269,3.567,0
270,4.233,0
271,4.167,0
272,2.9,0
273,2.567,0
274,2.133,0
275,1.933,0
276,1.367,0
277,1.3,0
278,1.067,0
279,1.5,0
280,1.433,0
281,0.467,0
282,0.1,0
283,1.1,0
284,2.933,0
285,3.433,0
286,3.267,0
287,3.5,0
288,3.067,0
289,5.033,0
290,4.367,0
291,5.2,0
292,5.4,0
293,5.933,0
294,4.933,0
295,2,0
296,0.367,0
297,0.967,0
298,1.333,0
299,0.967,0
300,0.5,0
301,0.333,0
302,0.5,0
303,0.267,0
304,0.567,0
305,1.933,0
306,1.867,0
307,0.433,0
308,1.133,0
309,2.1,0
310,2.1,0
311,2.9,0
312,2.333,0
313,2.367,0
314,2.067,0
315,1,0
316,1.533,0
317,2.267,0
318,1.6,0
319,4.033,0
320,3.1,0
321,1.367,0
322,0.133,0
323,1.333,0
324,2.433,0
325,8.233,1
326,8.067,1
327,8.833,1
328,9.6,1
329,9.067,1
330,9.333,1
331,8.533,1
332,9.433,1
333,11.533,1
334,12.6,1
335,13.533,1
336,13.833,1
337,12.3,1
338,12.5,1
339,13.033,1
340,12.5,1
341,11.067,1
342,11.033,1
343,8.667,1
344,2,0
345,0.033,0
346,1.5,0
347,3.267,0
348,4.267,0
349,5.367,0
350,5.4,0
351,4.933,0
352,3.9,0
353,2.9,0
354,1.6,0
355,0.867,0
356,2.3,0
357,4.833,0
358,5.733,0
359,4.633,0
360,1.8,0
361,0.233,0
362,1.133,0
363,2.2,0
364,1.967,0
365,5.733,0
366,4.7,0
367,5.633,0
368,5.033,0
369,4.7,0
370,3.667,0
371,2.267,0
372,1.3,0
373,0.167,0
374,0.233,0
375,1.567,0
376,1.9,0
377,2.3,0
378,2.767,0
379,2.967,0
380,1.767,0
381,0.1,0
382,0.333,0
383,3.8,0
384,4.033,0
385,3.2,0
386,0.433,0
387,0.267,0
388,0.067,0
389,1.3,0
390,0.867,0
391,2.533,0
392,2.467,0
393,2.8,0
394,2.9,0
395,2.667,0
396,2.067,0
397,1.933,0
398,1.333,0
399,0.467,0
400,0.467,0
401,1.367,0
402,2.133,0
403,0.433,0
404,1.1,0
405,1.6,0
406,2.133,0
407,2.133,0
408,2.633,0
409,2.3,0
410,2.7,0
411,2.833,0
412,3.267,0
413,3,0
414,0.933,0
415,0.133,0
416,0.233,0
417,0.9,0
418,2.667,0
419,10.667,1
420,11.6,1
421,12.367,1
422,13.267,1
423,13.8,1
424,14,1
425,14.033,1
426,14.1,1
427,12.733,1
428,13.3,1
429,13.933,1
430,14.133,1
431,13.567,1
432,12.7,1
433,12,1
434,10.033,1
435,9.833,1
436,11.633,1
437,11.733,1
438,11.333,1
